Detailed Percentile spectrum:
     Value   Percentile   TotalCount 1/(1-Percentile)

     0.183     0.000000            1         1.00
     0.765     0.100000     29071554         1.11
     1.077     0.200000     58052572         1.25
     1.539     0.300000     86985585         1.43
     1.971     0.400000    116024187         1.67
     2.355     0.500000    145015992         2.00
     2.561     0.550000    159481812         2.22
     2.783     0.600000    174042566         2.50
     3.001     0.650000    188486470         2.86
     3.207     0.700000    203045521         3.33
     3.409     0.750000    217592675         4.00
     3.513     0.775000    224764604         4.44
     3.619     0.800000    232060719         5.00
     3.727     0.825000    239199999         5.71
     3.843     0.850000    246488855         6.67
     3.963     0.875000    253697397         8.00
     4.031     0.887500    257322474         8.89
     4.107     0.900000    261092409        10.00
     4.187     0.912500    264610016        11.43
     4.287     0.925000    268319911        13.33
     4.407     0.937500    271911478        16.00
     4.491     0.943750    273665508        17.78
     4.631     0.950000    275446352        20.00
     5.051     0.956250    277258968        22.86
    10.847     0.962500    279067006        26.67
    12.103     0.968750    280886831        32.00
    12.735     0.971875    281788192        35.56
    13.335     0.975000    282695585        40.00
    13.983     0.978125    283597748        45.71
    25.567     0.981250    284517949        53.33
    26.239     0.984375    285422816        64.00
    26.527     0.985938    285874783        71.11
    26.831     0.987500    286330049        80.00
    27.135     0.989062    286779656        91.43
    27.471     0.990625    287226357       106.67
    27.775     0.992188    287695704       128.00
    27.919     0.992969    287916709       142.22
    28.063     0.993750    288132746       160.00
    28.223     0.994531    288369988       182.86
    28.367     0.995313    288587105       213.33
    28.527     0.996094    288814034       256.00
    28.607     0.996484    288928899       284.44
    28.687     0.996875    289039466       320.00
    28.767     0.997266    289152828       365.71
    28.847     0.997656    289266736       426.67
    28.927     0.998047    289374280       512.00
    28.975     0.998242    289430723       568.89
    29.039     0.998437    289497906       640.00
    29.087     0.998633    289540156       731.43
    29.183     0.998828    289602185       853.33
    29.343     0.999023    289654707      1024.00
    30.079     0.999121    289681387      1137.78
    36.479     0.999219    289709805      1280.00
    40.063     0.999316    289738117      1462.86
    40.831     0.999414    289766884      1706.67
    41.439     0.999512    289795174      2048.00
    41.727     0.999561    289809947      2275.56
    42.015     0.999609    289823416      2560.00
    42.335     0.999658    289837241      2925.71
    42.655     0.999707    289851881      3413.33
    42.975     0.999756    289866307      4096.00
    43.135     0.999780    289874123      4551.11
    43.263     0.999805    289879809      5120.00
    43.423     0.999829    289886839      5851.43
    43.615     0.999854    289895067      6826.67
    43.775     0.999878    289902231      8192.00
    43.839     0.999890    289904620      9102.22
    43.935     0.999902    289908180     10240.00
    44.095     0.999915    289911615     11702.86
    49.663     0.999927    289915062     13653.33
    50.527     0.999939    289918579     16384.00
    50.911     0.999945    289920349     18204.44
    51.199     0.999951    289922138     20480.00
    51.487     0.999957    289923828     23405.71
    51.903     0.999963    289925729     27306.67
    52.255     0.999969    289927435     32768.00
    52.479     0.999973    289928339     36408.89
    52.607     0.999976    289929257     40960.00
    52.735     0.999979    289930025     46811.43
    52.895     0.999982    289930920     54613.33
    53.087     0.999985    289931903     65536.00
    53.183     0.999986    289932238     72817.78
    53.311     0.999988    289932694     81920.00
    53.407     0.999989    289933320     93622.86
    53.471     0.999991    289933661    109226.67
    53.567     0.999992    289934025    131072.00
    53.631     0.999993    289934274    145635.56
    53.695     0.999994    289934473    163840.00
    53.759     0.999995    289934662    187245.71
    53.855     0.999995    289934873    218453.33
    54.015     0.999996    289935088    262144.00
    54.367     0.999997    289935199    291271.11
    55.615     0.999997    289935302    327680.00
    59.615     0.999997    289935428    374491.43
    60.671     0.999998    289935540    436906.67
    65.119     0.999998    289935636    524288.00
    65.663     0.999998    289935698    582542.22
    65.919     0.999998    289935746    655360.00
    66.239     0.999999    289935804    748982.86
    66.623     0.999999    289935860    873813.33
    66.943     0.999999    289935912   1048576.00
    67.199     0.999999    289935938   1165084.44
    67.391     0.999999    289935966   1310720.00
    67.583     0.999999    289936002   1497965.71
    67.711     0.999999    289936026   1747626.67
    67.839     1.000000    289936048   2097152.00
    67.903     1.000000    289936064   2330168.89
    68.031     1.000000    289936076   2621440.00
    68.159     1.000000    289936094   2995931.43
    68.223     1.000000    289936106   3495253.33
    68.351     1.000000    289936122   4194304.00
    68.415     1.000000    289936142   4660337.78
    68.415     1.000000    289936142   5242880.00
    68.415     1.000000    289936142   5991862.86
    68.479     1.000000    289936146   6990506.67
    68.543     1.000000    289936156   8388608.00
    68.543     1.000000    289936156   9320675.55
    68.671     1.000000    289936162  10485760.00
    68.671     1.000000    289936162  11983725.71
    68.735     1.000000    289936166  13981013.34
    68.927     1.000000    289936170  16777216.00
    68.991     1.000000    289936172  18641351.10
    69.119     1.000000    289936174  20971519.98
    69.119     1.000000    289936174  23967451.45
    69.247     1.000000    289936176  27962026.68
    69.887     1.000000    289936178  33554432.00
    70.015     1.000000    289936180  37282702.28
    70.015     1.000000    289936180  41943039.96
    70.015     1.000000    289936180  47934902.91
    71.487     1.000000    289936182  55924053.19
    71.487     1.000000    289936182  67108864.00
    74.623     1.000000    289936184  74565404.57
    74.623     1.000000    289936184  83886080.31
    74.623     1.000000    289936184  95869805.31
    74.623     1.000000    289936184 111848106.39
    74.623     1.000000    289936184 134217728.00
    75.455     1.000000    289936186 149130807.90
    75.455     1.000000    289936186          inf
#[Mean    =        3.039, StdDeviation   =        4.065]
#[Max     =       75.392, Total count    =    289936186]
#[Buckets =           27, SubBuckets     =         2048]
