Detailed Percentile spectrum:
     Value   Percentile   TotalCount 1/(1-Percentile)

     0.172     0.000000            1         1.00
     1.589     0.100000     58100259         1.11
     2.119     0.200000    116200120         1.25
     2.587     0.300000    174165819         1.43
     3.033     0.400000    232231729         1.67
     3.471     0.500000    290196318         2.00
     3.693     0.550000    319092144         2.22
     3.921     0.600000    348239047         2.50
     4.151     0.650000    377238823         2.86
     4.387     0.700000    406472764         3.33
     4.631     0.750000    435367576         4.00
     4.763     0.775000    449895766         4.44
     4.903     0.800000    464316745         5.00
     5.055     0.825000    478844129         5.71
     5.219     0.850000    493280822         6.67
     5.399     0.875000    507775424         8.00
     5.499     0.887500    515132632         8.89
     5.603     0.900000    522245855        10.00
     5.719     0.912500    529533853        11.43
     5.847     0.925000    536695865        13.33
     5.999     0.937500    544023908        16.00
     6.083     0.943750    547604035        17.78
     6.175     0.950000    551219096        20.00
     6.275     0.956250    554807478        22.86
     6.387     0.962500    558388013        26.67
     6.519     0.968750    562071617        32.00
     6.591     0.971875    563850991        35.56
     6.671     0.975000    565632299        40.00
     6.763     0.978125    567444335        45.71
     6.867     0.981250    569254139        53.33
     6.991     0.984375    571093229        64.00
     7.059     0.985938    571975819        71.11
     7.135     0.987500    572878740        80.00
     7.223     0.989062    573811502        91.43
     7.319     0.990625    574699270       106.67
     7.435     0.992188    575606436       128.00
     7.499     0.992969    576047173       142.22
     7.571     0.993750    576502428       160.00
     7.651     0.994531    576951314       182.86
     7.743     0.995313    577404241       213.33
     7.851     0.996094    577859661       256.00
     7.915     0.996484    578096085       284.44
     7.983     0.996875    578320717       320.00
     8.059     0.997266    578547137       365.71
     8.143     0.997656    578765259       426.67
     8.247     0.998047    578992832       512.00
     8.311     0.998242    579115777       568.89
     8.375     0.998437    579225260       640.00
     8.447     0.998633    579334360       731.43
     8.535     0.998828    579450831       853.33
     8.631     0.999023    579557334      1024.00
     8.687     0.999121    579613681      1137.78
     8.751     0.999219    579670247      1280.00
     8.823     0.999316    579726144      1462.86
     8.911     0.999414    579784177      1706.67
     9.015     0.999512    579841865      2048.00
     9.071     0.999561    579869659      2275.56
     9.135     0.999609    579897958      2560.00
     9.207     0.999658    579926525      2925.71
     9.287     0.999707    579953015      3413.33
     9.391     0.999756    579981149      4096.00
     9.447     0.999780    579995401      4551.11
     9.511     0.999805    580010138      5120.00
     9.591     0.999829    580024512      5851.43
     9.671     0.999854    580038024      6826.67
     9.775     0.999878    580052414      8192.00
     9.831     0.999890    580059082      9102.22
     9.895     0.999902    580066041     10240.00
     9.975     0.999915    580073366     11702.86
    10.079     0.999927    580080567     13653.33
    10.199     0.999939    580087475     16384.00
    10.263     0.999945    580090970     18204.44
    10.327     0.999951    580094460     20480.00
    10.415     0.999957    580098103     23405.71
    10.543     0.999963    580101498     27306.67
    10.735     0.999969    580105076     32768.00
    10.919     0.999973    580106779     36408.89
    11.111     0.999976    580108633     40960.00
    11.287     0.999979    580110309     46811.43
    11.527     0.999982    580112121     54613.33
    11.959     0.999985    580113855     65536.00
    12.367     0.999986    580114721     72817.78
    14.535     0.999988    580115610     81920.00
    19.215     0.999989    580116495     93622.86
    21.343     0.999991    580117378    109226.67
    24.751     0.999992    580118289    131072.00
    27.087     0.999993    580118713    145635.56
    27.951     0.999994    580119147    163840.00
    28.927     0.999995    580119623    187245.71
    29.887     0.999995    580120038    218453.33
    32.287     0.999996    580120475    262144.00
    34.303     0.999997    580120719    291271.11
    34.783     0.999997    580120924    327680.00
    35.295     0.999997    580121190    374491.43
    35.487     0.999998    580121386    436906.67
    35.807     0.999998    580121632    524288.00
    36.223     0.999998    580121695    582542.22
    36.511     0.999998    580121872    655360.00
    36.575     0.999999    580121924    748982.86
    36.671     0.999999    580122021    873813.33
    37.215     0.999999    580122132   1048576.00
    37.727     0.999999    580122198   1165084.44
    37.855     0.999999    580122243   1310720.00
    37.983     0.999999    580122300   1497965.71
    38.271     0.999999    580122369   1747626.67
    39.807     1.000000    580122407   2097152.00
    42.911     1.000000    580122437   2330168.89
    43.615     1.000000    580122463   2621440.00
    45.215     1.000000    580122493   2995931.43
    45.279     1.000000    580122519   3495253.33
    45.567     1.000000    580122545   4194304.00
    45.919     1.000000    580122587   4660337.78
    45.919     1.000000    580122587   5242880.00
    45.919     1.000000    580122587   5991862.86
    45.951     1.000000    580122611   6990506.67
