Detailed Percentile spectrum:
     Value   Percentile   TotalCount 1/(1-Percentile)

     0.178     0.000000            1         1.00
     0.780     0.100000     58010993         1.11
     1.105     0.200000    116120741         1.25
     1.488     0.300000    174041937         1.43
     1.971     0.400000    231963893         1.67
     2.497     0.500000    289940617         2.00
     2.785     0.550000    318931354         2.22
     3.083     0.600000    347941814         2.50
     3.395     0.650000    377058487         2.86
     3.767     0.700000    405910968         3.33
     4.231     0.750000    434920139         4.00
     4.531     0.775000    449520057         4.44
     5.179     0.800000    463946981         5.00
     7.787     0.825000    478397658         5.71
    12.967     0.850000    492917371         6.67
    18.591     0.875000    507407278         8.00
    20.079     0.887500    514711342         8.89
    21.695     0.900000    521942618        10.00
    25.503     0.912500    529160439        11.43
    27.055     0.925000    536429927        13.33
    28.575     0.937500    543643315        16.00
    29.599     0.943750    547258820        17.78
    32.095     0.950000    550895669        20.00
    33.215     0.956250    554621294        22.86
    33.919     0.962500    558198872        26.67
    34.591     0.968750    561780222        32.00
    34.975     0.971875    563684452        35.56
    35.359     0.975000    565457438        40.00
    35.775     0.978125    567302894        45.71
    36.223     0.981250    569117787        53.33
    36.735     0.984375    570832451        64.00
    37.151     0.985938    571759487        71.11
    37.919     0.987500    572626418        80.00
    39.647     0.989062    573532477        91.43
    42.207     0.990625    574438986       106.67
    43.935     0.992188    575359905       128.00
    44.703     0.992969    575812243       142.22
    45.567     0.993750    576249020       160.00
    47.007     0.994531    576702141       182.86
    50.239     0.995313    577158078       213.33
    51.871     0.996094    577610951       256.00
    52.607     0.996484    577841443       284.44
    53.439     0.996875    578062390       320.00
    54.815     0.997266    578287813       365.71
    57.503     0.997656    578514669       426.67
    59.007     0.998047    578743869       512.00
    59.615     0.998242    578859592       568.89
    60.223     0.998437    578966745       640.00
    61.023     0.998633    579083477       731.43
    62.079     0.998828    579194589       853.33
    64.319     0.999023    579306544      1024.00
    65.471     0.999121    579363150      1137.78
    66.303     0.999219    579422808      1280.00
    67.071     0.999316    579479925      1462.86
    67.775     0.999414    579534024      1706.67
    68.671     0.999512    579592576      2048.00
    69.183     0.999561    579620345      2275.56
    69.823     0.999609    579647498      2560.00
    70.783     0.999658    579675408      2925.71
    72.511     0.999707    579703105      3413.33
    75.071     0.999756    579731847      4096.00
    75.903     0.999780    579746140      4551.11
    76.735     0.999805    579759754      5120.00
    77.695     0.999829    579774425      5851.43
    78.719     0.999854    579788258      6826.67
    81.023     0.999878    579802253      8192.00
    82.559     0.999890    579809262      9102.22
    83.583     0.999902    579816636     10240.00
    84.543     0.999915    579823432     11702.86
    85.503     0.999927    579830338     13653.33
    86.719     0.999939    579837468     16384.00
    87.807     0.999945    579841026     18204.44
    89.343     0.999951    579844563     20480.00
    90.687     0.999957    579848033     23405.71
    92.095     0.999963    579851735     27306.67
    93.183     0.999969    579855246     32768.00
    93.695     0.999973    579856847     36408.89
    94.527     0.999976    579858650     40960.00
    95.359     0.999979    579860395     46811.43
    96.895     0.999982    579862146     54613.33
    98.559     0.999985    579863939     65536.00
    99.455     0.999986    579864796     72817.78
   100.543     0.999988    579865758     81920.00
   101.119     0.999989    579866568     93622.86
   101.823     0.999991    579867500    109226.67
   102.975     0.999992    579868376    131072.00
   103.359     0.999993    579868791    145635.56
   104.959     0.999994    579869225    163840.00
   106.431     0.999995    579869662    187245.71
   108.223     0.999995    579870134    218453.33
   109.247     0.999996    579870562    262144.00
   110.143     0.999997    579870774    291271.11
   110.527     0.999997    579871082    327680.00
   112.319     0.999997    579871271    374491.43
   112.703     0.999998    579871463    436906.67
   115.583     0.999998    579871655    524288.00
   115.903     0.999998    579871797    582542.22
   116.543     0.999998    579871886    655360.00
   117.439     0.999999    579871986    748982.86
   117.887     0.999999    579872150    873813.33
   119.743     0.999999    579872220   1048576.00
   119.871     0.999999    579872284   1165084.44
   121.535     0.999999    579872329   1310720.00
   121.663     0.999999    579872405   1497965.71
   122.943     0.999999    579872476   1747626.67
   123.263     1.000000    579872535   2097152.00
   123.263     1.000000    579872535   2330168.89
   123.263     1.000000    579872535   2621440.00
   123.711     1.000000    579872588   2995931.43
   123.775     1.000000    579872606   3495253.33
   127.039     1.000000    579872618   4194304.00
   128.639     1.000000    579872680   4660337.78
   128.639     1.000000    579872680   5242880.00
   128.639     1.000000    579872680   5991862.86
   128.639     1.000000    579872680   6990506.67
