Detailed Percentile spectrum:
     Value   Percentile   TotalCount 1/(1-Percentile)

     0.160     0.000000            1         1.00
     0.848     0.100000     87159579         1.11
     1.225     0.200000    174029433         1.25
     1.768     0.300000    260997866         1.43
     2.695     0.400000    348073135         1.67
     3.805     0.500000    434948264         2.00
     4.547     0.550000    478449826         2.22
     6.495     0.600000    521922279         2.50
    12.447     0.650000    565424719         2.86
    18.047     0.700000    608996717         3.33
    23.247     0.750000    652396411         4.00
    25.679     0.775000    674119609         4.44
    28.207     0.800000    695936371         5.00
    30.543     0.825000    717622726         5.71
    32.991     0.850000    739617341         6.67
    35.231     0.875000    761348510         8.00
    36.415     0.887500    772062913         8.89
    37.663     0.900000    783100764        10.00
    39.103     0.912500    793711728        11.43
    41.855     0.925000    804655450        13.33
    45.663     0.937500    815507979        16.00
    47.775     0.943750    820894118        17.78
    50.047     0.950000    826353079        20.00
    52.543     0.956250    831773711        22.86
    55.327     0.962500    837212407        26.67
    58.559     0.968750    842681202        32.00
    60.447     0.971875    845376983        35.56
    62.527     0.975000    848099076        40.00
    64.831     0.978125    850814700        45.71
    67.455     0.981250    853523555        53.33
    70.591     0.984375    856278193        64.00
    72.319     0.985938    857587345        71.11
    74.431     0.987500    858966570        80.00
    76.927     0.989062    860320972        91.43
    79.807     0.990625    861667681       106.67
    83.199     0.992188    863025308       128.00
    85.247     0.992969    863715727       142.22
    87.423     0.993750    864393733       160.00
    89.983     0.994531    865074185       182.86
    92.863     0.995313    865743391       213.33
    96.447     0.996094    866428450       256.00
    98.495     0.996484    866767379       284.44
   100.863     0.996875    867107621       320.00
   103.487     0.997266    867447891       365.71
   106.559     0.997656    867782821       426.67
   110.335     0.998047    868122148       512.00
   112.511     0.998242    868289664       568.89
   115.071     0.998437    868463072       640.00
   117.887     0.998633    868631431       731.43
   121.279     0.998828    868800764       853.33
   125.311     0.999023    868969261      1024.00
   127.551     0.999121    869053995      1137.78
   130.431     0.999219    869139781      1280.00
   133.375     0.999316    869225176      1462.86
   136.959     0.999414    869309884      1706.67
   141.439     0.999512    869395599      2048.00
   143.871     0.999561    869437352      2275.56
   146.559     0.999609    869479437      2560.00
   149.887     0.999658    869522277      2925.71
   153.471     0.999707    869563850      3413.33
   157.951     0.999756    869606718      4096.00
   160.511     0.999780    869627617      4551.11
   163.455     0.999805    869648728      5120.00
   166.527     0.999829    869670464      5851.43
   170.111     0.999854    869691197      6826.67
   174.335     0.999878    869712595      8192.00
   176.511     0.999890    869722936      9102.22
   179.199     0.999902    869733780     10240.00
   182.143     0.999915    869744187     11702.86
   185.215     0.999927    869754772     13653.33
   188.927     0.999939    869765623     16384.00
   190.975     0.999945    869770650     18204.44
   193.279     0.999951    869776213     20480.00
   195.583     0.999957    869781297     23405.71
   198.399     0.999963    869786631     27306.67
   201.599     0.999969    869791906     32768.00
   203.263     0.999973    869794677     36408.89
   205.567     0.999976    869797211     40960.00
   207.743     0.999979    869800092     46811.43
   210.303     0.999982    869802452     54613.33
   213.119     0.999985    869805131     65536.00
   215.167     0.999986    869806520     72817.78
   217.215     0.999988    869807765     81920.00
   219.391     0.999989    869809132     93622.86
   222.079     0.999991    869810565    109226.67
   225.151     0.999992    869811811    131072.00
   226.815     0.999993    869812404    145635.56
   228.351     0.999994    869813048    163840.00
   231.807     0.999995    869813727    187245.71
   235.263     0.999995    869814376    218453.33
   239.871     0.999996    869815044    262144.00
   241.535     0.999997    869815384    291271.11
   244.991     0.999997    869815770    327680.00
   247.551     0.999997    869816030    374491.43
   252.159     0.999998    869816359    436906.67
   256.383     0.999998    869816705    524288.00
   259.455     0.999998    869816864    582542.22
   261.247     0.999998    869817051    655360.00
   265.215     0.999999    869817243    748982.86
   265.983     0.999999    869817416    873813.33
   270.079     0.999999    869817570   1048576.00
   270.335     0.999999    869817634   1165084.44
   270.847     0.999999    869817762   1310720.00
   274.687     0.999999    869817830   1497965.71
   275.455     0.999999    869817888   1747626.67
   275.711     1.000000    869817958   2097152.00
   279.551     1.000000    869818022   2330168.89
   279.551     1.000000    869818022   2621440.00
   280.319     1.000000    869818081   2995931.43
   283.903     1.000000    869818152   3495253.33
   283.903     1.000000    869818152   4194304.00
   285.183     1.000000    869818216   4660337.78
   285.183     1.000000    869818216   5242880.00
   285.183     1.000000    869818216   5991862.86
   288.511     1.000000    869818280   6990506.67
