Detailed Percentile spectrum:
     Value   Percentile   TotalCount 1/(1-Percentile)

     0.102     0.000000            1         1.00
     1.536     0.100000    145135924         1.11
     2.007     0.200000    290093752         1.25
     2.437     0.300000    435351597         1.43
     2.871     0.400000    580453353         1.67
     3.325     0.500000    725425617         2.00
     3.563     0.550000    797637142         2.22
     3.813     0.600000    869987438         2.50
     4.077     0.650000    942819996         2.86
     4.351     0.700000   1015214543         3.33
     4.643     0.750000   1087765110         4.00
     4.799     0.775000   1123982341         4.44
     4.967     0.800000   1160535073         5.00
     5.147     0.825000   1196732660         5.71
     5.343     0.850000   1232886570         6.67
     5.559     0.875000   1268702923         8.00
     5.683     0.887500   1287201016         8.89
     5.815     0.900000   1305128843        10.00
     5.963     0.912500   1323236903        11.43
     6.131     0.925000   1341563811        13.33
     6.319     0.937500   1359403268        16.00
     6.427     0.943750   1368424702        17.78
     6.547     0.950000   1377508549        20.00
     6.683     0.956250   1386641850        22.86
     6.839     0.962500   1395752114        26.67
     7.019     0.968750   1404701885        32.00
     7.123     0.971875   1409240241        35.56
     7.239     0.975000   1413788054        40.00
     7.367     0.978125   1418239373        45.71
     7.515     0.981250   1422772620        53.33
     7.687     0.984375   1427280126        64.00
     7.787     0.985938   1429551550        71.11
     7.899     0.987500   1431818671        80.00
     8.027     0.989062   1434113064        91.43
     8.171     0.990625   1436369828       106.67
     8.343     0.992188   1438646950       128.00
     8.439     0.992969   1439748362       142.22
     8.551     0.993750   1440901993       160.00
     8.671     0.994531   1441995748       182.86
     8.815     0.995313   1443132357       213.33
     8.983     0.996094   1444260554       256.00
     9.079     0.996484   1444831048       284.44
     9.191     0.996875   1445417610       320.00
     9.311     0.997266   1445972487       365.71
     9.447     0.997656   1446512386       426.67
     9.623     0.998047   1447098950       512.00
     9.719     0.998242   1447381482       568.89
     9.823     0.998437   1447656772       640.00
     9.943     0.998633   1447936631       731.43
    10.079     0.998828   1448212140       853.33
    10.255     0.999023   1448502991      1024.00
    10.351     0.999121   1448636432      1137.78
    10.471     0.999219   1448780668      1280.00
    10.607     0.999316   1448921298      1462.86
    10.767     0.999414   1449062491      1706.67
    10.959     0.999512   1449204470      2048.00
    11.071     0.999561   1449274898      2275.56
    11.199     0.999609   1449345094      2560.00
    11.343     0.999658   1449414017      2925.71
    11.535     0.999707   1449486337      3413.33
    11.775     0.999756   1449556586      4096.00
    11.935     0.999780   1449591430      4551.11
    12.135     0.999805   1449626232      5120.00
    12.383     0.999829   1449661748      5851.43
    12.727     0.999854   1449696807      6826.67
    13.207     0.999878   1449732254      8192.00
    13.551     0.999890   1449750071      9102.22
    14.447     0.999902   1449767699     10240.00
    15.791     0.999915   1449785261     11702.86
    19.775     0.999927   1449803037     13653.33
    23.823     0.999939   1449820676     16384.00
    26.047     0.999945   1449829569     18204.44
    27.983     0.999951   1449838406     20480.00
    29.871     0.999957   1449847248     23405.71
    32.047     0.999963   1449856094     27306.67
    33.823     0.999969   1449864993     32768.00
    34.911     0.999973   1449869382     36408.89
    35.839     0.999976   1449873815     40960.00
    36.639     0.999979   1449878287     46811.43
    37.695     0.999982   1449882700     54613.33
    38.751     0.999985   1449887213     65536.00
    39.135     0.999986   1449889302     72817.78
    39.775     0.999988   1449891593     81920.00
    40.415     0.999989   1449893675     93622.86
    41.247     0.999991   1449895881    109226.67
    42.015     0.999992   1449898118    131072.00
    43.135     0.999993   1449899233    145635.56
    44.447     0.999994   1449900324    163840.00
    47.615     0.999995   1449901463    187245.71
    50.335     0.999995   1449902511    218453.33
    53.151     0.999996   1449903641    262144.00
    55.039     0.999997   1449904195    291271.11
    56.095     0.999997   1449904749    327680.00
    57.887     0.999997   1449905281    374491.43
    59.295     0.999998   1449905841    436906.67
    61.471     0.999998   1449906391    524288.00
    61.759     0.999998   1449906691    582542.22
    62.687     0.999998   1449906956    655360.00
    64.383     0.999999   1449907227    748982.86
    64.799     0.999999   1449907501    873813.33
    66.751     0.999999   1449907792   1048576.00
    67.263     0.999999   1449907925   1165084.44
    67.391     0.999999   1449908121   1310720.00
    67.775     0.999999   1449908201   1497965.71
    68.095     0.999999   1449908322   1747626.67
    69.247     1.000000   1449908458   2097152.00
    69.375     1.000000   1449908568   2330168.89
    69.887     1.000000   1449908592   2621440.00
    70.207     1.000000   1449908697   2995931.43
    70.271     1.000000   1449908737   3495253.33
