Detailed Percentile spectrum:
     Value   Percentile   TotalCount 1/(1-Percentile)

     0.096     0.000000            2         1.00
     1.129     0.100000     50013572         1.11
     1.437     0.200000    100044486         1.25
     1.699     0.300000    149872339         1.43
     1.969     0.400000    199810731         1.67
     2.277     0.500000    249988909         2.00
     2.453     0.550000    274837663         2.22
     2.653     0.600000    299676886         2.50
     2.885     0.650000    324704018         2.86
     3.153     0.700000    349676391         3.33
     3.463     0.750000    374584408         4.00
     3.639     0.775000    387081837         4.44
     3.833     0.800000    399614610         5.00
     4.045     0.825000    412018560         5.71
     4.283     0.850000    424639459         6.67
     4.543     0.875000    437011047         8.00
     4.691     0.887500    443333737         8.89
     4.847     0.900000    449519959        10.00
     5.019     0.912500    455815375        11.43
     5.203     0.925000    461995892        13.33
     5.407     0.937500    468196122        16.00
     5.523     0.943750    471391739        17.78
     5.643     0.950000    474450969        20.00
     5.779     0.956250    477587771        22.86
     5.927     0.962500    480671774        26.67
     6.099     0.968750    483816105        32.00
     6.195     0.971875    485403504        35.56
     6.295     0.975000    486913816        40.00
     6.411     0.978125    488483611        45.71
     6.543     0.981250    490066336        53.33
     6.695     0.984375    491630170        64.00
     6.779     0.985938    492377569        71.11
     6.879     0.987500    493181135        80.00
     6.987     0.989062    493953311        91.43
     7.107     0.990625    494721032       106.67
     7.251     0.992188    495501627       128.00
     7.335     0.992969    495890015       142.22
     7.431     0.993750    496285933       160.00
     7.539     0.994531    496675303       182.86
     7.659     0.995313    497056427       213.33
     7.807     0.996094    497453487       256.00
     7.887     0.996484    497641687       284.44
     7.983     0.996875    497836382       320.00
     8.087     0.997266    498033068       365.71
     8.207     0.997656    498233408       426.67
     8.359     0.998047    498429799       512.00
     8.447     0.998242    498525341       568.89
     8.543     0.998437    498619807       640.00
     8.655     0.998633    498714871       731.43
     8.799     0.998828    498816925       853.33
     8.959     0.999023    498910207      1024.00
     9.055     0.999121    498962122      1137.78
     9.151     0.999219    499008552      1280.00
     9.271     0.999316    499057468      1462.86
     9.407     0.999414    499105512      1706.67
     9.551     0.999512    499154212      2048.00
     9.647     0.999561    499178667      2275.56
     9.759     0.999609    499202724      2560.00
     9.895     0.999658    499227121      2925.71
    10.047     0.999707    499251432      3413.33
    10.247     0.999756    499275432      4096.00
    10.351     0.999780    499287181      4551.11
    10.463     0.999805    499299412      5120.00
    10.591     0.999829    499311508      5851.43
    10.775     0.999854    499324077      6826.67
    10.951     0.999878    499336218      8192.00
    11.047     0.999890    499342413      9102.22
    11.167     0.999902    499348037     10240.00
    11.311     0.999915    499354284     11702.86
    11.527     0.999927    499360305     13653.33
    11.855     0.999939    499366459     16384.00
    12.087     0.999945    499369433     18204.44
    12.271     0.999951    499372409     20480.00
    12.599     0.999957    499375531     23405.71
    13.079     0.999963    499378506     27306.67
    13.599     0.999969    499381575     32768.00
    13.959     0.999973    499383120     36408.89
    14.151     0.999976    499384601     40960.00
    14.503     0.999979    499386191     46811.43
    14.679     0.999982    499387671     54613.33
    15.151     0.999985    499389186     65536.00
    15.311     0.999986    499389933     72817.78
    15.503     0.999988    499390732     81920.00
    16.079     0.999989    499391482     93622.86
    16.311     0.999991    499392241    109226.67
    16.671     0.999992    499393005    131072.00
    16.991     0.999993    499393391    145635.56
    17.135     0.999994    499393747    163840.00
    17.407     0.999995    499394142    187245.71
    17.999     0.999995    499394511    218453.33
    18.575     0.999996    499394892    262144.00
    18.975     0.999997    499395085    291271.11
    19.263     0.999997    499395285    327680.00
    19.423     0.999997    499395469    374491.43
    19.759     0.999998    499395658    436906.67
    20.015     0.999998    499395847    524288.00
    20.127     0.999998    499395969    582542.22
    20.223     0.999998    499396047    655360.00
    20.271     0.999999    499396134    748982.86
    21.279     0.999999    499396243    873813.33
    21.311     0.999999    499396345   1048576.00
    21.327     0.999999    499396374   1165084.44
    21.343     0.999999    499396414   1310720.00
    21.375     0.999999    499396462   1497965.71
    22.799     0.999999    499396530   1747626.67
    22.815     1.000000    499396571   2097152.00
    22.831     1.000000    499396606   2330168.89
    22.831     1.000000    499396606   2621440.00
    23.263     1.000000    499396630   2995931.43
    23.471     1.000000    499396675   3495253.33
    23.471     1.000000    499396675   4194304.00
    23.487     1.000000    499396713   4660337.78
    23.487     1.000000    499396713   5242880.00
    23.487     1.000000    499396713   5991862.86
    23.503     1.000000    499396751   6990506.67
    23.503     1.000000    499396751   8388608.00
    23.503     1.000000    499396751   9320675.55
    23.503     1.000000    499396751  10485760.00
    23.503     1.000000    499396751  11983725.71
    23.519     1.000000    499396762  13981013.34
    23.519     1.000000    499396762  16777216.00
    39.391     1.000000    499396764  18641351.10
    39.583     1.000000    499396771  20971519.98
    39.583     1.000000    499396771  23967451.45
    42.047     1.000000    499396773  27962026.68
    42.431     1.000000    499396782  33554432.00
    42.431     1.000000    499396782  37282702.28
    42.431     1.000000    499396782  41943039.96
    42.431     1.000000    499396782  47934902.91
    42.431     1.000000    499396782  55924053.19
    44.127     1.000000    499396788  67108864.00
    44.127     1.000000    499396788  74565404.57
    44.127     1.000000    499396788  83886080.31
    44.127     1.000000    499396788  95869805.31
    44.127     1.000000    499396788 111848106.39
    44.127     1.000000    499396788 134217728.00
    44.127     1.000000    499396788 149130807.90
    44.127     1.000000    499396788 167772160.62
    44.127     1.000000    499396788 191739610.61
    44.127     1.000000    499396788 223696215.56
    47.551     1.000000    499396790 268435456.00
    47.551     1.000000    499396790          inf
#[Mean    =        2.668, StdDeviation   =        1.485]
#[Max     =       47.520, Total count    =    499396790]
#[Buckets =           27, SubBuckets     =         2048]
